Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
17,17,2017-11-20,29-074,CLE,@,DET,W (+28),1,25:51,8,12,.667,1,2,.500,2,2,1.000,2,9,11,4,0,0,2,3,19,17.5,+30
18,18,2017-11-22,29-076,CLE,,BRK,W (+10),1,31:15,7,17,.412,0,4,.000,4,6,.667,2,8,10,3,0,1,1,4,18,12.1,+10
19,19,2017-11-24,29-078,CLE,,CHO,W (+1),1,31:08,3,6,.500,1,3,.333,4,4,1.000,1,12,13,0,0,1,1,5,11,10.0,-11
20,20,2017-11-27,29-081,CLE,@,PHI,W (+22),1,24:47,4,12,.333,2,7,.286,3,3,1.000,2,1,3,2,1,0,1,4,13,7.7,0
21,21,2017-11-28,29-082,CLE,,MIA,W (+11),1,25:28,10,16,.625,4,8,.500,14,17,.824,2,7,9,2,2,0,3,0,38,33.5,+25
22,22,2017-11-30,29-084,CLE,@,ATL,W (+7),1,33:25,7,16,.438,4,9,.444,7,8,.875,6,10,16,2,0,0,5,2,25,19.0,+12
23,23,2017-12-02,29-086,CLE,,MEM,W (+5),1,30:04,7,12,.583,3,4,.750,3,3,1.000,0,11,11,2,0,0,1,2,20,17.3,+1
24,24,2017-12-04,29-088,CLE,@,CHI,W (+22),1,22:53,8,13,.615,3,6,.500,5,5,1.000,0,13,13,0,0,1,0,0,24,22.7,+9
25,25,2017-12-06,29-090,CLE,,SAC,W (+6),1,29:52,7,16,.438,1,6,.167,3,3,1.000,1,12,13,1,1,0,2,1,18,13.2,-3
26,26,2017-12-08,29-092,CLE,@,IND,L (-4),1,26:03,6,16,.375,2,7,.286,6,10,.600,2,5,7,3,0,0,0,0,20,14.6,+11
27,,2017-12-09,29-093,CLE,,PHI,W (+7),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
