Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
66,63,2015-03-10,26-184,CLE,@,DAL,W (+33),1,32:57,9,17,.529,2,6,.333,1,2,.500,2,12,14,2,0,1,3,2,21,15.6,+24
67,64,2015-03-12,26-186,CLE,@,SAS,W (+3),1,32:50,2,10,.200,2,4,.500,2,2,1.000,2,3,5,2,0,0,0,0,8,5.5,+1
68,,2015-03-15,26-189,CLE,@,ORL,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
69,,2015-03-16,26-190,CLE,@,MIA,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
70,65,2015-03-18,26-192,CLE,,BRK,W (+25),1,27:29,4,9,.444,0,2,.000,2,3,.667,2,9,11,4,0,0,3,1,10,8.4,+13
71,66,2015-03-20,26-194,CLE,,IND,W (+3),1,38:56,3,9,.333,1,4,.250,4,5,.800,2,11,13,1,0,1,0,0,11,11.6,+4
72,67,2015-03-22,26-196,CLE,@,MIL,W (+18),1,29:17,4,13,.308,1,5,.200,0,0,,2,1,3,2,0,0,2,1,9,2.2,-1
73,68,2015-03-25,26-199,CLE,@,MEM,W (+22),1,31:43,10,13,.769,2,4,.500,0,0,,1,9,10,4,1,2,5,0,22,20.5,+23
74,69,2015-03-27,26-201,CLE,@,BRK,L (-8),1,31:24,6,11,.545,2,4,.500,4,4,1.000,1,6,7,1,0,0,3,6,18,10.5,0
75,70,2015-03-29,26-203,CLE,,PHI,W (+1),1,30:58,4,10,.400,2,5,.400,0,1,.000,3,7,10,1,2,1,2,1,10,9.4,+11
76,,2015-04-02,26-207,CLE,,MIA,W (+26),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
77,71,2015-04-05,26-210,CLE,,CHI,W (+5),1,30:47,4,12,.333,3,8,.375,0,0,,1,3,4,2,2,1,2,1,11,7.5,+5
78,72,2015-04-08,26-213,CLE,@,MIL,W (+5),1,35:09,7,14,.500,1,5,.200,1,2,.500,2,9,11,0,1,2,2,1,16,12.7,+3
79,73,2015-04-10,26-215,CLE,,BOS,L (-9),1,30:51,6,12,.500,4,8,.500,3,3,1.000,2,4,6,4,0,0,2,1,19,16.0,+1
80,,2015-04-12,26-217,CLE,@,BOS,L (-39),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
81,74,2015-04-13,26-218,CLE,,DET,W (+12),1,26:14,3,9,.333,1,6,.167,0,0,,0,4,4,0,0,2,1,1,7,3.1,+6
82,75,2015-04-15,26-220,CLE,,WAS,W (+5),1,18:21,6,12,.500,5,6,.833,2,2,1.000,0,3,3,0,0,0,1,0,19,12.9,-6
1,1,2015-10-27,27-050,CLE,@,CHI,L (-2),1,34:49,6,17,.353,3,7,.429,3,3,1.000,4,4,8,4,0,2,2,0,18,14.7,+1
2,2,2015-10-28,27-051,CLE,@,MEM,W (+30),1,28:51,7,14,.500,2,7,.286,1,1,1.000,2,11,13,3,0,0,3,2,17,13.0,+18
3,3,2015-10-30,27-053,CLE,,MIA,W (+10),1,33:07,6,15,.400,3,7,.429,9,9,1.000,6,8,14,5,0,1,0,2,24,25.9,+3
4,4,2015-11-02,27-056,CLE,@,PHI,W (+7),1,28:34,7,14,.500,0,4,.000,1,1,1.000,1,7,8,2,0,0,2,2,15,9.4,+24
5,5,2015-11-04,27-058,CLE,,NYK,W (+10),1,32:21,4,13,.308,2,6,.333,1,2,.500,2,10,12,1,0,0,1,0,11,7.2,+10
6,6,2015-11-06,27-060,CLE,,PHI,W (+6),1,33:47,5,16,.313,2,10,.200,0,0,,5,9,14,2,2,0,5,2,12,6.6,+14
7,7,2015-11-08,27-062,CLE,,IND,W (+4),1,39:03,9,18,.500,2,6,.333,2,2,1.000,4,15,19,2,0,3,2,3,22,20.6,+14
